X Y Z R G B Nx Ny Nz
253 385 0.5 0 255 255 0 0 1
252 384 -0.5 0 255 255 0 0 -1
252 384 0.5 0 255 255 0 0 1
245 384 -0.5 0 255 255 0 0 -1
245 384 0.5 0 255 255 0 0 1
244 383 -0.5 0 255 255 0 0 -1
244 383 0.5 0 255 255 0 0 1
239 383 -0.5 0 255 255 0 0 -1
239 383 0.5 0 255 255 0 0 1
238 382 -0.5 0 255 255 0 0 -1
238 382 0.5 0 255 255 0 0 1
232 382 -0.5 0 255 255 0 0 -1
232 382 0.5 0 255 255 0 0 1
231 381 -0.5 0 255 255 0 0 -1
231 381 0.5 0 255 255 0 0 1
224 381 -0.5 0 255 255 0 0 -1
224 381 0.5 0 255 255 0 0 1
223 380 -0.5 0 255 255 0 0 -1
223 380 0.5 0 255 255 0 0 1
219 380 -0.5 0 255 255 0 0 -1
219 380 0.5 0 255 255 0 0 1
218 379 -0.5 0 255 255 0 0 -1
218 379 0.5 0 255 255 0 0 1
216 379 -0.5 0 255 255 0 0 -1
216 379 0.5 0 255 255 0 0 1
215 378 -0.5 0 255 255 0 0 -1
215 378 0.5 0 255 255 0 0 1
205 378 -0.5 0 255 255 0 0 -1
205 378 0.5 0 255 255 0 0 1
204 377 -0.5 0 255 255 0 0 -1
204 377 0.5 0 255 255 0 0 1
194 377 -0.5 0 255 255 0 0 -1
194 377 0.5 0 255 255 0 0 1
193 376 -0.5 0 255 255 0 0 -1
193 376 0.5 0 255 255 0 0 1
166 376 -0.5 0 255 255 0 0 -1
166 376 0.5 0 255 255 0 0 1
165 377 -0.5 0 255 255 0 0 -1
165 377 0.5 0 255 255 0 0 1
143 377 -0.5 0 255 255 0 0 -1
143 377 0.5 0 255 255 0 0 1
142 378 -0.5 0 255 255 0 0 -1
142 378 0.5 0 255 255 0 0 1
142 380 -0.5 0 255 255 0 0 -1
142 380 0.5 0 255 255 0 0 1
140 382 -0.5 0 255 255 0 0 -1
140 382 0.5 0 255 255 0 0 1
138 382 -0.5 0 255 255 0 0 -1
138 382 0.5 0 255 255 0 0 1
137 383 -0.5 0 255 255 0 0 -1
137 383 0.5 0 255 255 0 0 1
131 383 -0.5 0 255 255 0 0 -1
131 383 0.5 0 255 255 0 0 1
130 384 -0.5 0 255 255 0 0 -1
130 384 0.5 0 255 255 0 0 1
128 384 -0.5 0 255 255 0 0 -1
128 384 0.5 0 255 255 0 0 1
126 386 -0.5 0 255 255 0 0 -1
126 386 0.5 0 255 255 0 0 1
125 386 -0.5 0 255 255 0 0 -1
125 386 0.5 0 255 255 0 0 1
124 387 -0.5 0 255 255 0 0 -1
124 387 0.5 0 255 255 0 0 1
123 387 -0.5 0 255 255 0 0 -1
123 387 0.5 0 255 255 0 0 1
122 388 -0.5 0 255 255 0 0 -1
122 388 0.5 0 255 255 0 0 1
121 388 -0.5 0 255 255 0 0 -1
121 388 0.5 0 255 255 0 0 1
120 389 -0.5 0 255 255 0 0 -1
120 389 0.5 0 255 255 0 0 1
119 389 -0.5 0 255 255 0 0 -1
119 389 0.5 0 255 255 0 0 1
116 392 -0.5 0 255 255 0 0 -1
116 392 0.5 0 255 255 0 0 1
115 392 -0.5 0 255 255 0 0 -1
115 392 0.5 0 255 255 0 0 1
111 396 -0.5 0 255 255 0 0 -1
111 396 0.5 0 255 255 0 0 1
110 396 -0.5 0 255 255 0 0 -1
110 396 0.5 0 255 255 0 0 1
105 401 -0.5 0 255 255 0 0 -1
105 401 0.5 0 255 255 0 0 1
104 401 -0.5 0 255 255 0 0 -1
104 401 0.5 0 255 255 0 0 1
102 403 -0.5 0 255 255 0 0 -1
102 403 0.5 0 255 255 0 0 1
101 403 -0.5 0 255 255 0 0 -1
101 403 0.5 0 255 255 0 0 1
101 404 -0.5 0 255 255 0 0 -1
101 404 0.5 0 255 255 0 0 1
89 416 -0.5 0 255 255 0 0 -1
89 416 0.5 0 255 255 0 0 1
89 417 -0.5 0 255 255 0 0 -1
89 417 0.5 0 255 255 0 0 1
82 424 -0.5 0 255 255 0 0 -1
82 424 0.5 0 255 255 0 0 1
82 425 -0.5 0 255 255 0 0 -1
82 425 0.5 0 255 255 0 0 1
76 431 -0.5 0 255 255 0 0 -1
76 431 0.5 0 255 255 0 0 1
76 432 -0.5 0 255 255 0 0 -1
76 432 0.5 0 255 255 0 0 1
72 436 -0.5 0 255 255 0 0 -1
72 436 0.5 0 255 255 0 0 1
72 437 -0.5 0 255 255 0 0 -1
72 437 0.5 0 255 255 0 0 1
70 439 -0.5 0 255 255 0 0 -1
70 439 0.5 0 255 255 0 0 1
70 441 -0.5 0 255 255 0 0 -1
70 441 0.5 0 255 255 0 0 1
66 445 -0.5 0 255 255 0 0 -1
66 445 0.5 0 255 255 0 0 1
66 446 -0.5 0 255 255 0 0 -1
66 446 0.5 0 255 255 0 0 1
64 448 -0.5 0 255 255 0 0 -1
64 448 0.5 0 255 255 0 0 1
64 449 -0.5 0 255 255 0 0 -1
64 449 0.5 0 255 255 0 0 1
63 450 -0.5 0 255 255 0 0 -1
63 450 0.5 0 255 255 0 0 1
63 451 -0.5 0 255 255 0 0 -1
63 451 0.5 0 255 255 0 0 1
62 452 -0.5 0 255 255 0 0 -1
62 452 0.5 0 255 255 0 0 1
62 453 -0.5 0 255 255 0 0 -1
62 453 0.5 0 255 255 0 0 1
61 454 -0.5 0 255 255 0 0 -1
61 454 0.5 0 255 255 0 0 1
61 457 -0.5 0 255 255 0 0 -1
61 457 0.5 0 255 255 0 0 1
59 459 -0.5 0 255 255 0 0 -1
59 459 0.5 0 255 255 0 0 1
59 461 -0.5 0 255 255 0 0 -1
59 461 0.5 0 255 255 0 0 1
58 462 -0.5 0 255 255 0 0 -1
58 462 0.5 0 255 255 0 0 1
58 463 -0.5 0 255 255 0 0 -1
58 463 0.5 0 255 255 0 0 1
57 464 -0.5 0 255 255 0 0 -1
57 464 0.5 0 255 255 0 0 1
57 468 -0.5 0 255 255 0 0 -1
57 468 0.5 0 255 255 0 0 1
55 470 -0.5 0 255 255 0 0 -1
55 470 0.5 0 255 255 0 0 1
55 473 -0.5 0 255 255 0 0 -1
55 473 0.5 0 255 255 0 0 1
54 474 -0.5 0 255 255 0 0 -1
54 474 0.5 0 255 255 0 0 1
54 475 -0.5 0 255 255 0 0 -1
54 475 0.5 0 255 255 0 0 1
53 476 -0.5 0 255 255 0 0 -1
53 476 0.5 0 255 255 0 0 1
53 477 -0.5 0 255 255 0 0 -1
53 477 0.5 0 255 255 0 0 1
52 478 -0.5 0 255 255 0 0 -1
52 478 0.5 0 255 255 0 0 1
52 479 -0.5 0 255 255 0 0 -1
52 479 0.5 0 255 255 0 0 1
49 482 -0.5 0 255 255 0 0 -1
49 482 0.5 0 255 255 0 0 1
49 485 -0.5 0 255 255 0 0 -1
49 485 0.5 0 255 255 0 0 1
48 486 -0.5 0 255 255 0 0 -1
48 486 0.5 0 255 255 0 0 1
48 491 -0.5 0 255 255 0 0 -1
48 491 0.5 0 255 255 0 0 1
47 492 -0.5 0 255 255 0 0 -1
47 492 0.5 0 255 255 0 0 1
47 505 -0.5 0 255 255 0 0 -1
47 505 0.5 0 255 255 0 0 1
49 507 -0.5 0 255 255 0 0 -1
49 507 0.5 0 255 255 0 0 1
49 508 -0.5 0 255 255 0 0 -1
49 508 0.5 0 255 255 0 0 1
50 509 -0.5 0 255 255 0 0 -1
50 509 0.5 0 255 255 0 0 1
50 510 -0.5 0 255 255 0 0 -1
50 510 0.5 0 255 255 0 0 1
51 511 -0.5 0 255 255 0 0 -1
51 511 0.5 0 255 255 0 0 1
51 512 -0.5 0 255 255 0 0 -1
51 512 0.5 0 255 255 0 0 1
53 514 -0.5 0 255 255 0 0 -1
53 514 0.5 0 255 255 0 0 1
53 515 -0.5 0 255 255 0 0 -1
53 515 0.5 0 255 255 0 0 1
54 516 -0.5 0 255 255 0 0 -1
54 516 0.5 0 255 255 0 0 1
54 517 -0.5 0 255 255 0 0 -1
54 517 0.5 0 255 255 0 0 1
55 518 -0.5 0 255 255 0 0 -1
55 518 0.5 0 255 255 0 0 1
55 520 -0.5 0 255 255 0 0 -1
55 520 0.5 0 255 255 0 0 1
56 521 -0.5 0 255 255 0 0 -1
56 521 0.5 0 255 255 0 0 1
56 522 -0.5 0 255 255 0 0 -1
56 522 0.5 0 255 255 0 0 1
57 523 -0.5 0 255 255 0 0 -1
57 523 0.5 0 255 255 0 0 1
57 524 -0.5 0 255 255 0 0 -1
57 524 0.5 0 255 255 0 0 1
61 528 -0.5 0 255 255 0 0 -1
61 528 0.5 0 255 255 0 0 1
61 529 -0.5 0 255 255 0 0 -1
61 529 0.5 0 255 255 0 0 1
62 530 -0.5 0 255 255 0 0 -1
62 530 0.5 0 255 255 0 0 1
62 531 -0.5 0 255 255 0 0 -1
62 531 0.5 0 255 255 0 0 1
63 532 -0.5 0 255 255 0 0 -1
63 532 0.5 0 255 255 0 0 1
63 533 -0.5 0 255 255 0 0 -1
63 533 0.5 0 255 255 0 0 1
65 535 -0.5 0 255 255 0 0 -1
65 535 0.5 0 255 255 0 0 1
65 538 -0.5 0 255 255 0 0 -1
65 538 0.5 0 255 255 0 0 1
66 539 -0.5 0 255 255 0 0 -1
66 539 0.5 0 255 255 0 0 1
66 540 -0.5 0 255 255 0 0 -1
66 540 0.5 0 255 255 0 0 1
68 542 -0.5 0 255 255 0 0 -1
68 542 0.5 0 255 255 0 0 1
69 542 -0.5 0 255 255 0 0 -1
69 542 0.5 0 255 255 0 0 1
72 545 -0.5 0 255 255 0 0 -1
72 545 0.5 0 255 255 0 0 1
72 546 -0.5 0 255 255 0 0 -1
72 546 0.5 0 255 255 0 0 1
73 546 -0.5 0 255 255 0 0 -1
73 546 0.5 0 255 255 0 0 1
74 547 -0.5 0 255 255 0 0 -1
74 547 0.5 0 255 255 0 0 1
75 547 -0.5 0 255 255 0 0 -1
75 547 0.5 0 255 255 0 0 1
76 548 -0.5 0 255 255 0 0 -1
76 548 0.5 0 255 255 0 0 1
76 549 -0.5 0 255 255 0 0 -1
76 549 0.5 0 255 255 0 0 1
77 549 -0.5 0 255 255 0 0 -1
77 549 0.5 0 255 255 0 0 1
79 551 -0.5 0 255 255 0 0 -1
79 551 0.5 0 255 255 0 0 1
79 552 -0.5 0 255 255 0 0 -1
79 552 0.5 0 255 255 0 0 1
86 559 -0.5 0 255 255 0 0 -1
86 559 0.5 0 255 255 0 0 1
86 560 -0.5 0 255 255 0 0 -1
86 560 0.5 0 255 255 0 0 1
89 563 -0.5 0 255 255 0 0 -1
89 563 0.5 0 255 255 0 0 1
90 563 -0.5 0 255 255 0 0 -1
90 563 0.5 0 255 255 0 0 1
91 564 -0.5 0 255 255 0 0 -1
91 564 0.5 0 255 255 0 0 1
92 564 -0.5 0 255 255 0 0 -1
92 564 0.5 0 255 255 0 0 1
94 566 -0.5 0 255 255 0 0 -1
94 566 0.5 0 255 255 0 0 1
95 566 -0.5 0 255 255 0 0 -1
95 566 0.5 0 255 255 0 0 1
96 567 -0.5 0 255 255 0 0 -1
96 567 0.5 0 255 255 0 0 1
97 567 -0.5 0 255 255 0 0 -1
97 567 0.5 0 255 255 0 0 1
101 571 -0.5 0 255 255 0 0 -1
101 571 0.5 0 255 255 0 0 1
101 572 -0.5 0 255 255 0 0 -1
101 572 0.5 0 255 255 0 0 1
102 572 -0.5 0 255 255 0 0 -1
102 572 0.5 0 255 255 0 0 1
104 574 -0.5 0 255 255 0 0 -1
104 574 0.5 0 255 255 0 0 1
105 574 -0.5 0 255 255 0 0 -1
105 574 0.5 0 255 255 0 0 1
107 576 -0.5 0 255 255 0 0 -1
107 576 0.5 0 255 255 0 0 1
108 576 -0.5 0 255 255 0 0 -1
108 576 0.5 0 255 255 0 0 1
110 578 -0.5 0 255 255 0 0 -1
110 578 0.5 0 255 255 0 0 1
110 579 -0.5 0 255 255 0 0 -1
110 579 0.5 0 255 255 0 0 1
111 580 -0.5 0 255 255 0 0 -1
111 580 0.5 0 255 255 0 0 1
113 580 -0.5 0 255 255 0 0 -1
113 580 0.5 0 255 255 0 0 1
115 582 -0.5 0 255 255 0 0 -1
115 582 0.5 0 255 255 0 0 1
116 582 -0.5 0 255 255 0 0 -1
116 582 0.5 0 255 255 0 0 1
118 584 -0.5 0 255 255 0 0 -1
